Commit #,LSI Given Top 10 Relevant Files,Commit Author,File Experts,Package Experts,System Experts,File Level,Package Level,System Level,Overall,Listed contacts of maintainers,File Level,Package Level,System Level,Overall,Liste of randomly selected developers from before the alpaha release,File Level,Package Level,System Level,Overall
846840,dialogs/KWPageSettingsDialog.cpp,ducroquet,zander sebsauer ducroquet nikolaus ,nikolaus zander sebsauer ingwa jaham fyanardi girish mkruisselbrink rempt mlaurent ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,1,0,0,1,zander zachmann ingwa staniek boud jaham,0,0,0,0,dmeltzer flambert aacid mwoehlke nikolaus abeaumont aseigo adridg krake binner,0,0,0,0
846840,commands/KoPAChangeMasterPageCommand.cpp,ducroquet,zachmann fyanardi ,nikolaus jaham mkruisselbrink zander zachmann pstirnweiss sebsauer langkamp mlaurent rempt ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,dmeltzer flambert aacid mwoehlke nikolaus abeaumont aseigo adridg krake binner,0,0,0,0
846840,part/KWDocument.cpp,ducroquet,zander zachmann ducroquet sebsauer boemann langkamp nikolaus psn ,zachmann zander fyanardi sebsauer boemann ducroquet nikolaus psn ingwa clicea ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,1,1,0,1,zander zachmann ingwa staniek boud jaham,0,0,0,0,dmeltzer flambert aacid mwoehlke nikolaus abeaumont aseigo adridg krake binner,0,0,0,0
846840,tests/TestPageCommands.cpp,ducroquet, ,rempt berger nikolaus zachmann zander tamponi girish vkrause jaham page ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,dmeltzer flambert aacid mwoehlke nikolaus abeaumont aseigo adridg krake binner,0,0,0,0
846840,commands/KoPAPageMoveCommand.cpp,ducroquet,zachmann ,nikolaus jaham mkruisselbrink zander zachmann pstirnweiss sebsauer langkamp mlaurent rempt ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,dmeltzer flambert aacid mwoehlke nikolaus abeaumont aseigo adridg krake binner,0,0,0,0
846840,commands/KWPagePropertiesCommand.cpp,ducroquet,zander mkruisselbrink ducroquet ,nikolaus jaham mkruisselbrink zander zachmann pstirnweiss sebsauer langkamp mlaurent rempt ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,1,0,0,1,zander zachmann ingwa staniek boud jaham,0,0,0,0,dmeltzer flambert aacid mwoehlke nikolaus abeaumont aseigo adridg krake binner,0,0,0,0
846840,commands/KoPAPageDeleteCommand.cpp,ducroquet,zachmann ,nikolaus jaham mkruisselbrink zander zachmann pstirnweiss sebsauer langkamp mlaurent rempt ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,dmeltzer flambert aacid mwoehlke nikolaus abeaumont aseigo adridg krake binner,0,0,0,0
846840,commands/KWPageRemoveCommand.cpp,ducroquet,zander sebsauer ducroquet ,nikolaus jaham mkruisselbrink zander zachmann pstirnweiss sebsauer langkamp mlaurent rempt ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,1,0,0,1,zander zachmann ingwa staniek boud jaham,0,0,0,0,dmeltzer flambert aacid mwoehlke nikolaus abeaumont aseigo adridg krake binner,0,0,0,0
846840,commands/KoPAPageInsertCommand.cpp,ducroquet,zachmann ,nikolaus jaham mkruisselbrink zander zachmann pstirnweiss sebsauer langkamp mlaurent rempt ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,dmeltzer flambert aacid mwoehlke nikolaus abeaumont aseigo adridg krake binner,0,0,0,0
846840,commands/KWPageInsertCommand.cpp,ducroquet,zander sebsauer ducroquet ,nikolaus jaham mkruisselbrink zander zachmann pstirnweiss sebsauer langkamp mlaurent rempt ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,1,0,0,1,zander zachmann ingwa staniek boud jaham,0,0,0,0,dmeltzer flambert aacid mwoehlke nikolaus abeaumont aseigo adridg krake binner,0,0,0,0
881241,dialogs/LayoutDialog.cpp,zander,nikolaus sebsauer zander pfau ,nikolaus zander sebsauer ingwa jaham fyanardi girish mkruisselbrink rempt mlaurent ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,1,1,1,1,zander zachmann ingwa staniek boud jaham,1,1,1,1,boemann nikolaus sebsauer tokoe piggz habacker dang jriddell girish aseigo,0,0,0,0
881241,libpaintop/kis_brush_selection_widget.cpp,zander,rempt ,rempt sengels bjacob ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,1,1,zander zachmann ingwa staniek boud jaham,1,1,1,1,boemann nikolaus sebsauer tokoe piggz habacker dang jriddell girish aseigo,0,0,0,0
881241,libpaintop/kis_brush_server.cpp,zander,rempt ,rempt sengels bjacob ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,1,1,zander zachmann ingwa staniek boud jaham,1,1,1,1,boemann nikolaus sebsauer tokoe piggz habacker dang jriddell girish aseigo,0,0,0,0
881241,libpaintop/kis_brush_server.cpp,zander,rempt ,rempt sengels bjacob ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,1,1,zander zachmann ingwa staniek boud jaham,1,1,1,1,boemann nikolaus sebsauer tokoe piggz habacker dang jriddell girish aseigo,0,0,0,0
881241,libpaintop/kis_brush.h,zander,rempt ,rempt sengels bjacob ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,1,1,zander zachmann ingwa staniek boud jaham,1,1,1,1,boemann nikolaus sebsauer tokoe piggz habacker dang jriddell girish aseigo,0,0,0,0
881241,libpaintop/kis_brush_chooser.cpp,zander,rempt ,rempt sengels bjacob ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,1,1,zander zachmann ingwa staniek boud jaham,1,1,1,1,boemann nikolaus sebsauer tokoe piggz habacker dang jriddell girish aseigo,0,0,0,0
881241,libpaintop/kis_brush_option.cpp,zander,rempt ,rempt sengels bjacob ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,1,1,zander zachmann ingwa staniek boud jaham,1,1,1,1,boemann nikolaus sebsauer tokoe piggz habacker dang jriddell girish aseigo,0,0,0,0
881241,libpaintop/kis_brush_based_paintop.cpp,zander,rempt ,rempt sengels bjacob ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,1,1,zander zachmann ingwa staniek boud jaham,1,1,1,1,boemann nikolaus sebsauer tokoe piggz habacker dang jriddell girish aseigo,0,0,0,0
881241,kotext/KoTextBlockData.cpp,zander,zander girish mkruisselbrink ducroquet ,zander zachmann girish sebsauer fyanardi ducroquet rempt staniek mlaurent buis ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,1,1,1,1,zander zachmann ingwa staniek boud jaham,1,1,1,1,boemann nikolaus sebsauer tokoe piggz habacker dang jriddell girish aseigo,0,0,0,0
881241,complexop/complexbrush.cpp,zander, , ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,1,1,zander zachmann ingwa staniek boud jaham,1,1,1,1,boemann nikolaus sebsauer tokoe piggz habacker dang jriddell girish aseigo,0,0,0,0
847576,flake/KoInputDevice.cpp,fela, ,zander jaham mpfeiffer zachmann staniek johnflux mueller boemann rempt mlaurent ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,coppens lunakl sitter danders krake ariya page boemann pstirnweiss hdhoang,0,0,0,0
847576,mswrite/libmswrite_defs.h,fela,dang ,dang staniek ingwa ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,coppens lunakl sitter danders krake ariya page boemann pstirnweiss hdhoang,0,0,0,0
847576,ui/kis_paintop_box.h,fela,rempt berger ,rempt berger danders langkamp nikolaus zander zachmann mkruisselbrink page mlaurent ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,coppens lunakl sitter danders krake ariya page boemann pstirnweiss hdhoang,0,0,0,0
847576,clockwipe/KPrClockWipeSubpathHelper.cpp,fela,langkamp ,langkamp boemann ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,coppens lunakl sitter danders krake ariya page boemann pstirnweiss hdhoang,0,0,0,0
847576,flake/KoToolManager.cpp,fela,jaham zander staniek boemann berger rempt buis thiago skoning ,zander jaham mpfeiffer zachmann staniek johnflux mueller boemann rempt mlaurent ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,coppens lunakl sitter danders krake ariya page boemann pstirnweiss hdhoang,0,0,0,0
847576,mswrite/libmswrite.cpp,fela,staniek dang ,dang staniek ingwa ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,coppens lunakl sitter danders krake ariya page boemann pstirnweiss hdhoang,0,0,0,0
847576,CalligraphyTool/KarbonCalligraphyTool.cpp,fela,fela zander sengels ,fela zander jaham sengels ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,1,1,0,1,zander zachmann ingwa staniek boud jaham,0,0,0,0,coppens lunakl sitter danders krake ariya page boemann pstirnweiss hdhoang,0,0,0,0
847576,flake/KoDeviceEvent.cpp,fela,jaham mlaurent ,zander jaham mpfeiffer zachmann staniek johnflux mueller boemann rempt mlaurent ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,coppens lunakl sitter danders krake ariya page boemann pstirnweiss hdhoang,0,0,0,0
847576,flake/KoPostscriptPaintDevice.cpp,fela, ,zander jaham mpfeiffer zachmann staniek johnflux mueller boemann rempt mlaurent ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,coppens lunakl sitter danders krake ariya page boemann pstirnweiss hdhoang,0,0,0,0
847576,commands/RowColumnManipulators.cpp,fela,nikolaus mkruisselbrink mecir ,nikolaus jaham mkruisselbrink zander zachmann pstirnweiss sebsauer langkamp mlaurent rempt ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,coppens lunakl sitter danders krake ariya page boemann pstirnweiss hdhoang,0,0,0,0
832876,tests/kis_recorded_action_test.cpp,villani,berger ,rempt berger nikolaus zachmann zander tamponi girish vkrause jaham page ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,jlayt psn fela zachmann anagl sebsauer mpfeiffer sharan apaku pstirnweiss,0,0,0,0
832876,tests/kis_paint_device_action_test.cpp,villani,sengels ,rempt berger nikolaus zachmann zander tamponi girish vkrause jaham page ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,jlayt psn fela zachmann anagl sebsauer mpfeiffer sharan apaku pstirnweiss,0,0,0,0
832876,tests/kis_filter_config_widget_test.cpp,villani, ,rempt berger nikolaus zachmann zander tamponi girish vkrause jaham page ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,jlayt psn fela zachmann anagl sebsauer mpfeiffer sharan apaku pstirnweiss,0,0,0,0
832876,tests/kis_paint_information_test.cpp,villani,berger bjacob ,rempt berger nikolaus zachmann zander tamponi girish vkrause jaham page ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,jlayt psn fela zachmann anagl sebsauer mpfeiffer sharan apaku pstirnweiss,0,0,0,0
832876,tests/kis_bookmarked_configuration_manager_test.cpp,villani, ,rempt berger nikolaus zachmann zander tamponi girish vkrause jaham page ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,jlayt psn fela zachmann anagl sebsauer mpfeiffer sharan apaku pstirnweiss,0,0,0,0
832876,tests/kis_shared_ptr_test.cpp,villani,berger rempt ,rempt berger nikolaus zachmann zander tamponi girish vkrause jaham page ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,jlayt psn fela zachmann anagl sebsauer mpfeiffer sharan apaku pstirnweiss,0,0,0,0
832876,tests/kis_node_visitor_test.cpp,villani, ,rempt berger nikolaus zachmann zander tamponi girish vkrause jaham page ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,jlayt psn fela zachmann anagl sebsauer mpfeiffer sharan apaku pstirnweiss,0,0,0,0
832876,tests/kis_shared_ptr_vector_test.cpp,villani, ,rempt berger nikolaus zachmann zander tamponi girish vkrause jaham page ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,jlayt psn fela zachmann anagl sebsauer mpfeiffer sharan apaku pstirnweiss,0,0,0,0
832876,tests/kis_random_generator_test.cpp,villani,berger rempt ,rempt berger nikolaus zachmann zander tamponi girish vkrause jaham page ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,jlayt psn fela zachmann anagl sebsauer mpfeiffer sharan apaku pstirnweiss,0,0,0,0
832876,tests/kis_effect_mask_test.cpp,villani, ,rempt berger nikolaus zachmann zander tamponi girish vkrause jaham page ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,jlayt psn fela zachmann anagl sebsauer mpfeiffer sharan apaku pstirnweiss,0,0,0,0
868014,part/KWPageManager.cpp,zander,zander sebsauer ducroquet ,zachmann zander fyanardi sebsauer boemann ducroquet nikolaus psn ingwa clicea ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,1,1,1,1,zander zachmann ingwa staniek boud jaham,1,1,1,1,sitter bcail quique clicea jdandres pstirnweiss krake dmeltzer dang flambert,0,0,0,0
868014,part/KWPageManager.cpp,zander,zander sebsauer ducroquet ,zachmann zander fyanardi sebsauer boemann ducroquet nikolaus psn ingwa clicea ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,1,1,1,1,zander zachmann ingwa staniek boud jaham,1,1,1,1,sitter bcail quique clicea jdandres pstirnweiss krake dmeltzer dang flambert,0,0,0,0
868014,part/KWPageTextInfo.cpp,zander, ,zachmann zander fyanardi sebsauer boemann ducroquet nikolaus psn ingwa clicea ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,1,1,1,zander zachmann ingwa staniek boud jaham,1,1,1,1,sitter bcail quique clicea jdandres pstirnweiss krake dmeltzer dang flambert,0,0,0,0
868014,part/KWPage.cpp,zander,zander sebsauer ducroquet ,zachmann zander fyanardi sebsauer boemann ducroquet nikolaus psn ingwa clicea ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,1,1,1,1,zander zachmann ingwa staniek boud jaham,1,1,1,1,sitter bcail quique clicea jdandres pstirnweiss krake dmeltzer dang flambert,0,0,0,0
868014,tests/TestBasicLayout.cpp,zander,sebsauer ducroquet ,rempt berger nikolaus zachmann zander tamponi girish vkrause jaham page ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,1,1,1,zander zachmann ingwa staniek boud jaham,1,1,1,1,sitter bcail quique clicea jdandres pstirnweiss krake dmeltzer dang flambert,0,0,0,0
868014,tests/TestPageManager.cpp,zander,sebsauer ducroquet ,rempt berger nikolaus zachmann zander tamponi girish vkrause jaham page ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,1,1,1,zander zachmann ingwa staniek boud jaham,1,1,1,1,sitter bcail quique clicea jdandres pstirnweiss krake dmeltzer dang flambert,0,0,0,0
868014,dialogs/KWPageSettingsDialog.cpp,zander,zander sebsauer ducroquet nikolaus ,nikolaus zander sebsauer ingwa jaham fyanardi girish mkruisselbrink rempt mlaurent ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,1,1,1,1,zander zachmann ingwa staniek boud jaham,1,1,1,1,sitter bcail quique clicea jdandres pstirnweiss krake dmeltzer dang flambert,0,0,0,0
868014,commands/KWPageInsertCommand.cpp,zander,zander sebsauer ducroquet ,nikolaus jaham mkruisselbrink zander zachmann pstirnweiss sebsauer langkamp mlaurent rempt ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,1,1,1,1,zander zachmann ingwa staniek boud jaham,1,1,1,1,sitter bcail quique clicea jdandres pstirnweiss krake dmeltzer dang flambert,0,0,0,0
868014,part/KWDocument.cpp,zander,zander zachmann ducroquet sebsauer boemann langkamp nikolaus psn ,zachmann zander fyanardi sebsauer boemann ducroquet nikolaus psn ingwa clicea ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,1,1,1,1,zander zachmann ingwa staniek boud jaham,1,1,1,1,sitter bcail quique clicea jdandres pstirnweiss krake dmeltzer dang flambert,0,0,0,0
868014,tests/KWPageManagerTester.cpp,zander, ,rempt berger nikolaus zachmann zander tamponi girish vkrause jaham page ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,1,1,1,zander zachmann ingwa staniek boud jaham,1,1,1,1,sitter bcail quique clicea jdandres pstirnweiss krake dmeltzer dang flambert,0,0,0,0
835741,kplato/kptviewlistdocker.cpp, fyanardi, ,danders mlaurent djarvie nikolaus jlayt zander zachmann dfaure ilic jpetso ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,fmerz clicea staniek djarvie nlecureuil jsimon villani ariya anagl buis,0,0,0,0
835741,dockers/KWStatisticsDocker.cpp, fyanardi,zander fyanardi ,jaham zander zachmann boemann rempt ingwa psn langkamp mlaurent mpfeiffer ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,fmerz clicea staniek djarvie nlecureuil jsimon villani ariya anagl buis,0,0,0,0
835741,ui/kpttaskeditor.cpp, fyanardi,danders ,rempt berger danders langkamp nikolaus zander zachmann mkruisselbrink page mlaurent ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,fmerz clicea staniek djarvie nlecureuil jsimon villani ariya anagl buis,0,0,0,0
835741,ui/kpttaskstatusview.cpp, fyanardi,danders aacid ,rempt berger danders langkamp nikolaus zander zachmann mkruisselbrink page mlaurent ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,fmerz clicea staniek djarvie nlecureuil jsimon villani ariya anagl buis,0,0,0,0
835741,main/KoDocument.cpp, fyanardi,zachmann dfaure zander rempt langkamp sebsauer danders staniek jaham psn ,,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,fmerz clicea staniek djarvie nlecureuil jsimon villani ariya anagl buis,0,0,0,0
835741,ui/kptresourceeditor.cpp, fyanardi,danders mlaurent ,rempt berger danders langkamp nikolaus zander zachmann mkruisselbrink page mlaurent ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,fmerz clicea staniek djarvie nlecureuil jsimon villani ariya anagl buis,0,0,0,0
835741,ui/kpttaskstatusview.cpp, fyanardi,danders aacid ,rempt berger danders langkamp nikolaus zander zachmann mkruisselbrink page mlaurent ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,fmerz clicea staniek djarvie nlecureuil jsimon villani ariya anagl buis,0,0,0,0
835741,ui/kpttaskstatusview.cpp, fyanardi,danders aacid ,rempt berger danders langkamp nikolaus zander zachmann mkruisselbrink page mlaurent ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,fmerz clicea staniek djarvie nlecureuil jsimon villani ariya anagl buis,0,0,0,0
835741,ui/kptresourceappointmentsview.cpp, fyanardi,danders mlaurent sengels chehrlic ,rempt berger danders langkamp nikolaus zander zachmann mkruisselbrink page mlaurent ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,fmerz clicea staniek djarvie nlecureuil jsimon villani ariya anagl buis,0,0,0,0
835741,scripting/ScriptingWidgets.cpp, fyanardi,danders sebsauer nikolaus ,sebsauer piggz danders berger nikolaus rempt staniek zachmann zander ducroquet ,rempt berger zander jaham nikolaus staniek zachmann sebsauer danders mkruisselbrink,0,0,0,0,zander zachmann ingwa staniek boud jaham,0,0,0,0,fmerz clicea staniek djarvie nlecureuil jsimon villani ariya anagl buis,0,0,0,0
