algorithm,alpha,decay,eta,iterations,max_bound_iterations,num_topics,offset,passes,random_seed_value,perplexity,include_additions,include_context,include_message,include_removals
batch,auto,0.5,auto,1000,1000,100,1.0,1,1,168.232858846,True,True,False,True
batch,auto,0.5,auto,1000,1000,200,1.0,1,1,168.042948442,True,True,False,True
batch,auto,0.5,auto,1000,1000,500,1.0,1,1,172.345608452,True,True,False,True
batch,auto,0.5,0.01,1000,1000,100,1.0,1,1,155.042948188,True,True,False,True
batch,auto,0.5,0.005,1000,1000,200,1.0,1,1,159.292176557,True,True,False,True
batch,auto,0.5,0.002,1000,1000,500,1.0,1,1,168.214958873,True,True,False,True
batch,auto,0.5,0.02,1000,1000,100,1.0,1,1,156.138982651,True,True,False,True
batch,auto,0.5,0.01,1000,1000,200,1.0,1,1,159.256416697,True,True,False,True
batch,auto,0.5,0.004,1000,1000,500,1.0,1,1,166.229799252,True,True,False,True
batch,auto,0.5,0.05,1000,1000,100,1.0,1,1,159.963117409,True,True,False,True
batch,auto,0.5,0.025,1000,1000,200,1.0,1,1,160.177932154,True,True,False,True
batch,auto,0.5,0.01,1000,1000,500,1.0,1,1,164.502183705,True,True,False,True
batch,0.01,0.5,auto,1000,1000,100,1.0,1,1,168.233996485,True,True,False,True
batch,0.005,0.5,auto,1000,1000,200,1.0,1,1,168.047818441,True,True,False,True
batch,0.002,0.5,auto,1000,1000,500,1.0,1,1,172.352488527,True,True,False,True
batch,0.01,0.5,0.01,1000,1000,100,1.0,1,1,155.047086871,True,True,False,True
batch,0.005,0.5,0.005,1000,1000,200,1.0,1,1,159.298465881,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,168.222046234,True,True,False,True
batch,0.01,0.5,0.02,1000,1000,100,1.0,1,1,156.142087137,True,True,False,True
batch,0.005,0.5,0.01,1000,1000,200,1.0,1,1,159.508905805,True,True,False,True
batch,0.002,0.5,0.004,1000,1000,500,1.0,1,1,166.237389166,True,True,False,True
batch,0.01,0.5,0.05,1000,1000,100,1.0,1,1,159.966666796,True,True,False,True
batch,0.005,0.5,0.025,1000,1000,200,1.0,1,1,160.183511441,True,True,False,True
batch,0.002,0.5,0.01,1000,1000,500,1.0,1,1,164.510261193,True,True,False,True
batch,0.02,0.5,auto,1000,1000,100,1.0,1,1,168.186043727,True,True,False,True
batch,0.01,0.5,auto,1000,1000,200,1.0,1,1,168.027738378,True,True,False,True
batch,0.004,0.5,auto,1000,1000,500,1.0,1,1,172.283469174,True,True,False,True
batch,0.02,0.5,0.01,1000,1000,100,1.0,1,1,154.986033145,True,True,False,True
batch,0.01,0.5,0.005,1000,1000,200,1.0,1,1,159.268876705,True,True,False,True
batch,0.004,0.5,0.002,1000,1000,500,1.0,1,1,167.686677314,True,True,False,True
batch,0.02,0.5,0.02,1000,1000,100,1.0,1,1,156.09217446,True,True,False,True
batch,0.01,0.5,0.01,1000,1000,200,1.0,1,1,159.474441088,True,True,False,True
batch,0.004,0.5,0.004,1000,1000,500,1.0,1,1,166.189742857,True,True,False,True
batch,0.02,0.5,0.05,1000,1000,100,1.0,1,1,159.992305361,True,True,False,True
batch,0.01,0.5,0.025,1000,1000,200,1.0,1,1,160.173112781,True,True,False,True
batch,0.004,0.5,0.01,1000,1000,500,1.0,1,1,164.522647237,True,True,False,True
batch,0.05,0.5,auto,1000,1000,100,1.0,1,1,168.227806822,True,True,False,True
batch,0.025,0.5,auto,1000,1000,200,1.0,1,1,167.918819229,True,True,False,True
batch,0.01,0.5,auto,1000,1000,500,1.0,1,1,172.171364195,True,True,False,True
batch,0.05,0.5,0.01,1000,1000,100,1.0,1,1,155.024591029,True,True,False,True
batch,0.025,0.5,0.005,1000,1000,200,1.0,1,1,159.189877379,True,True,False,True
batch,0.01,0.5,0.002,1000,1000,500,1.0,1,1,167.569744527,True,True,False,True
batch,0.05,0.5,0.02,1000,1000,100,1.0,1,1,156.002470841,True,True,False,True
batch,0.025,0.5,0.01,1000,1000,200,1.0,1,1,159.122792151,True,True,False,True
batch,0.01,0.5,0.004,1000,1000,500,1.0,1,1,166.080587275,True,True,False,True
batch,0.05,0.5,0.05,1000,1000,100,1.0,1,1,159.956986646,True,True,False,True
batch,0.025,0.5,0.025,1000,1000,200,1.0,1,1,160.163767355,True,True,False,True
batch,0.01,0.5,0.01,1000,1000,500,1.0,1,1,164.467353056,True,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,158.355756845,True,True,True,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,157.030983865,True,False,True,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,166.506802988,True,False,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,156.014302442,True,True,True,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,166.731514102,True,True,False,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,155.104776513,True,False,True,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,166.26591247,True,False,False,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,146.275193523,False,True,True,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,155.382954425,False,True,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,143.973575815,False,False,True,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,153.03755375,False,False,False,True
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,121.59557501,False,True,True,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,121.82325852,False,True,False,False
batch,0.002,0.5,0.002,1000,1000,500,1.0,1,1,132.535360615,False,False,True,False
